category,group,name,status,version,firmware,notes
Cameras,Leica,M11-P,Live,,,"The world's first camera with built-in Content Credentials, using a dedicated hardware chip to sign images at the moment of capture."
Cameras,Leica,M11-D,Live,,,"The second Leica camera to integrate C2PA-compliant authenticity technology, continuing the focus on verifiable provenance."
Cameras,Leica,SL3,Not Supported,,,Does not support C2PA. Leica has stated that firmware-only solutions do not meet its security standards for encryption.
Cameras,Sony,Alpha 1 (a1),Live,,,"C2PA support added via firmware update (Ver. 2.00), enabling in-camera digital signatures to authenticate images."
Cameras,Sony,Alpha 9 III (a9 III),Live,,,Support for C2PA image authenticity was included in a firmware update (Ver. 2.00).
Cameras,Sony,Alpha 7S III (a7S III),Live,,,Firmware update (Ver. 3.00) brought Sony's Camera Authenticity Solution to this model.
Cameras,Sony,Alpha 7 IV (a7 IV),Live,,,"Gained C2PA support through a firmware update (Ver. 3.00), embedding provenance metadata directly into files."
Cameras,Nikon,Z9,Not Supported,,,"Nikon showed a Z9 provenance prototype in 2022, but Nikon's current Authenticity Service publicly lists only the Z6III as compatible; no public Z9 rollout is documented as of April 20, 2026."
Cameras,Nikon,Z6 III,Live,,,Supports Nikon Authenticity Service with C2PA Content Credentials starting in firmware 2.00; requires Nikon Imaging Cloud registration and the latest firmware.
Cameras,Canon,EOS R1,Live,,,"Supports C2PA content authentication, initially available for registered news agencies to verify image authenticity from capture."
Cameras,Canon,EOS R5 Mark II,Live,,,"Firmware update added C2PA support, embedding verifiable metadata to help combat misinformation."
Cameras,Fujifilm,GFX100S II,Live,,,Reported to have C2PA support for embedding content provenance information.
Cameras,Fujifilm,X-T50,Live,,,"Reported to be a C2PA-compliant device, allowing creators to attach authenticity data to their images."
Smartphones,Samsung,Galaxy S25 Series,Live,,,"The industry's first smartphone lineup to natively support C2PA Content Credentials, initially for images created or edited with Galaxy AI."
Smartphones,Samsung,Galaxy Devices (via Gallery App),Live,,,"A Gallery app update is rolling out Content Credentials support to more Galaxy devices, showing a 'CR' icon for details on AI edits."
Smartphones,Google,Pixel 10,Live,,,"Google launched Pixel 10 in August 2025, and Pixel Camera is now on the C2PA Conforming Products List. Google says Pixel 10 devices are first to add C2PA Content Credentials across photos captured in the native camera app."
Smartphones,Hardware Enablers,Qualcomm Snapdragon 8 Gen 3,Live,,,"This mobile platform integrates C2PA support at the chip level in partnership with Truepic, enabling any smartphone manufacturer to adopt the standard."
Editing tools,Adobe,Photoshop,Live,,,"Allows creators to attach Content Credentials during export, providing a transparent edit history."
Editing tools,Adobe,Lightroom (CC & Classic),Live,,,"Supports attaching Content Credentials to JPEG files on export, logging edits and creator information."
Editing tools,Adobe,Fresco,Live,,,"Allows artists to export their work with Content Credentials, which can then be displayed on platforms like Behance."
Editing tools,Capture One,Capture One Pro (Studio & All in One),Beta,,,"Content Credentials support is currently in beta, allowing professional photographers to integrate provenance into their workflows."
AI generation tools,OpenAI,DALL-E 3,Live,,,Automatically embeds C2PA metadata into generated images to clearly label them as AI-created.
AI generation tools,OpenAI,Sora,Live,,,"OpenAI says all Sora videos embed C2PA metadata, and OpenAI Media Service appears on the C2PA Conforming Products List as of January 28, 2026."
AI generation tools,Microsoft,Bing Image Creator,Live,,,"All images generated with this tool include an invisible C2PA digital watermark, confirming their AI provenance."
AI generation tools,Microsoft,Designer,Live,,,"Microsoft documents that Designer includes C2PA-based content credentials for AI-generated and AI-edited images, with controls for embedding credentials on export."
AI generation tools,Adobe,Firefly,Live,,,"All content generated with Adobe Firefly automatically includes Content Credentials, indicating its AI origin."
AI generation tools,Google,Imagen (in Vertex AI & Products),Live,,,"Google's image generation models are being updated to include C2PA metadata, which surfaces in features like 'About this image' in Google Search."
Publishing platforms,Adobe,Behance,Live,,,"Natively displays the 'CR' icon for Content Credentials, allowing viewers to inspect an asset's creation and edit history."
Publishing platforms,Adobe,Adobe Stock,Live,,,"Preserves and displays Content Credentials for supported assets, providing transparency for stock media."
Publishing platforms,Social Media,LinkedIn,Live,,,"Displays a 'CR' icon on images with attached Content Credentials, giving users access to provenance information directly in their feed."
Publishing platforms,Social Media,TikTok,Live,,,"The first social platform to automatically apply Content Credentials labels to AI-generated content uploaded to its platform, enhancing transparency."
Publishing platforms,Search Engines,Google Search,Live,,,"The 'About this image' feature can read and display C2PA metadata, helping users get context on images they find online."
Publishing platforms,Search Engines,Microsoft Bing,Live,,,"Features like 'About this image' are being implemented to provide provenance information for images, leveraging C2PA standards."
Verification tools,Content Authenticity Initiative,Content Credentials Verify,Live,,,The official web-based tool for inspecting any media file to see if it contains Content Credentials and to view its full history.
Verification tools,Truepic,Truepic Lens & SDKs,Live,,,Provides enterprise-level tools and SDKs for securely capturing and verifying digital photos and videos using the C2PA standard.
Verification tools,Independent,C2PA Viewer,Live,,,A third-party tool and website dedicated to making C2PA information easy to view and understand for the general public.
